word,count
"hartioille", 1
"hartioilleen", 1
"harvan", 1
"harvat", 2
"harvemmin", 1
"harvenemistaan", 1
"harvenivat", 1
"harvenneet", 1
"harvinaisen", 1
"harvoin", 1
"has", 2
"haudalle", 1
"haudassakaan", 1
"haudassako", 1
"haudatkaamme", 1
"haukka", 5
"haukkaa", 1
"haukkoja", 1
"haukkua", 1
"haukkui", 1
"haukkumista", 1
"hauskaa", 6
"hautaavat", 1
"hautausta", 1
"hauteilla", 1
"hautoja", 1
"hautomassa", 1
"havahtaen", 1
"havahti", 1
"havainnut", 1
"have", 6
"he", 162
"hear", 1
"hedelmän", 1
"hehkui", 4
"hehkuvan", 1
"hehkuvia", 2
"hei", 2
"heidän", 87
"heidät", 30
"heihin", 7
"heijastelivat", 1
"heijastus", 1
"heijastusta", 1
"heikentynyt", 3
"heikko", 4
"heikkoa", 1
"heikkous", 1
"heikolla", 1
"heikon", 3
"heikontuneena", 1
"heikäläinen", 1
"heilahtelivat", 1
"heilauttaen", 1
"heilautti", 4
"heilauttivat", 1
"heille", 21
"heillä", 11
"heiltä", 2
"heilutellen", 1
"heilutettuaan", 1
"heiluttivat", 1
"heimoasi", 1
"heimolleen", 2
"heimonsa", 1
"heimosi", 1
"heinä", 1
"heinäin", 1
"heinäkuun", 1
"heinäsirkkain", 1
"heissä", 2
"heistä", 16
"heitetty", 1
"heitetyn", 1
"heitetään", 1
"heitti", 11
"heittivät", 6
"heittäisivät", 1
"heittänyt", 1
"heittäysi", 1
"heittäytyen", 1
"heittäytyi", 5
"heittäytyivät", 3
"heittäytyä", 1
"heittää", 1
"heittääkö", 1
"heitukan", 1
"heitukat", 1
"heitukka", 8
"heitä", 39
"heitähän", 1
"heitäkin", 1
"heitäkään", 1
"heitän", 1
"heität", 1
"hekin", 3
"heleä", 3
"heleää", 1
"helisivät", 1
"hellitellyt", 1
"hellyydellä", 1
"hellyyttä", 1
"hellästi", 1
"hellät", 1
"hellää", 1
"helmaväen", 1
"helmet", 1
"helminauha", 1
"helminauhan", 1
"helminä", 1
"helmiä", 3
"helotti", 1
"help", 3
"helpolla", 1
"helppo", 1
"heltyneinä", 1
"helähteli", 1
"hemmettiin", 1
"hemmettiä", 1
"hemmottelu", 1
"hengen", 2
"hengestään", 1
"hengetön", 1
"hengetöntä", 1
"hengissä", 1
"hengittää", 1
"hengitystään", 1
"henkemme", 1
"henkensä", 4
"henkesi", 2
"henkeä", 2
"henki", 2
"henkien", 1
"henkiin", 1
"henkilöitä", 1
"henkäyksiä", 1
"hennon", 1
"hennot", 1
"hento", 1
"hentona", 1
"herenneet", 1
"herkeämättä", 1
"herkkusuita", 1
"herkkyydellä", 1
"herkkä", 1
"herkut", 1
"herra", 8
"herraa", 1
"herrain", 2
"herralleen", 1
"herran", 2
"herransa", 1
"herrasväelle", 1
"herrat", 1
"herroina", 1
"herrojen", 1
"hervotonta", 1
"herännyt", 2
"heräsi", 6
"heräsivät", 2
"heräten", 1
"herätti", 2
"herättikin", 1
"herättivät", 2
"herättyänsä", 1
"herättyään", 2
"herättämään", 1
"herättänyt", 1
"herättävää", 1
"herättää", 1
"herää", 1
